"ECUD","SRAZKY_7","SRAZKY_5","SRAZKY_3","SRAZKY_ACT","EFFDT"
"3220003070",15.6,14.8,5.8,"0.0","2020-03-15T06:00Z"
"3215003063",5.5,5.5,3.1,"0.0","2015-06-03T06:00Z"
"3220004931",29.9,28.1,25.4,"25.4","2020-05-09T06:00Z"
"3221001508",1.7,0.1,0,"0.0","2021-02-22T06:00Z"
"3221002908",5.8,5.8,5.7,"0.0","2021-03-30T06:00Z"
"3220000761",16,16,8.9,"7.7","2020-02-01T06:00Z"
"3215007908",24.7,20.9,1.1,"0.0","2015-12-05T06:00Z"
"3219003960",0.1,0,0,"0.0","2019-04-21T06:00Z"
"3218001348",4.6,4.6,4.6,"4.3","2018-01-31T06:00Z"
"3221011214",7.8,4.4,4.4,"3.4","2021-10-21T06:00Z"
"3224015524",34,32.1,32.1,"22.1","2024-11-19T06:00Z"
"3222009451",3.7,0.1,0.1,"0.0","2022-07-21T06:00Z"
"4215002417",1.4,1.4,0.2,"0.2","2015-04-11T06:00Z"
"4216002310",3.7,3.7,1,"0.1","2016-04-27T06:00Z"
"4217001634",2.2,1.2,1.2,"0.3","2017-03-02T06:00Z"
"4218007692",0.8,0.8,0.8,"0.0","2018-07-24T06:00Z"
"4218008470",3.2,3.2,2,"0.0","2018-08-06T06:00Z"
"4218008466",3.2,3.2,2,"0.0","2018-08-06T06:00Z"
"4218008477",3.2,3.2,2,"0.0","2018-08-06T06:00Z"
"4218008906",11.5,11.2,9.3,"0.0","2018-08-15T06:00Z"
"4219003423",1.3,0.1,0,"0.0","2019-03-23T06:00Z"
"4219007380",0,0,0,"0.0","2019-07-02T06:00Z"
"4219007382",0,0,0,"0.0","2019-07-02T06:00Z"
"4220009002",13.8,13.8,12.2,"0.0","2020-08-19T06:00Z"
"4221000014",0.3,0.1,0.1,"0.1","2021-01-01T06:00Z"
"4222004164",0,0,0,"0.0","2022-03-27T06:00Z"
"4216003242",10.5,0.2,0.2,"0.0","2016-05-29T06:00Z"
"4217006150",24,19.3,16.4,"2.9","2017-07-17T06:00Z"
"4217006492",37.6,37.5,10.5,"0.0","2017-07-28T06:00Z"
"4217008508",11.9,10.5,10.5,"10.3","2017-10-02T06:00Z"
"4218004788",0.4,0.4,0.4,"0.0","2018-05-11T06:00Z"
"4218007743",1.1,1.1,0.3,"0.3","2018-07-25T06:00Z"
"4218008083",1.4,1.1,1.1,"0.0","2018-07-31T06:00Z"
"4219003210",15.4,5.1,5,"0.3","2019-03-17T06:00Z"
"4219003722",1.4,0.4,0,"0.0","2019-04-01T06:00Z"
"4219004001",0,0,0,"0.0","2019-04-08T06:00Z"
"4219004918",27.3,27.3,27.3,"19.1","2019-04-29T06:00Z"
"4219005283",4.3,4,0.8,"0.7","2019-05-08T06:00Z"
"4219013325",3.8,0,0,"0.0","2019-12-31T06:00Z"
"4220008902",11.2,9.8,9.8,"8.2","2020-08-17T06:00Z"
"4220009055",13.8,12.2,12.2,"0.0","2020-08-20T06:00Z"
"4220009109",13.8,12.2,4,"0.0","2020-08-21T06:00Z"
"4221011580",4.2,1,0,"0.0","2021-10-26T06:00Z"
"4222004503",6.6,4.3,0.3,"0.0","2022-04-05T06:00Z"
"4215002801",1,0.9,0.9,"0.4","2015-04-25T06:00Z"
"4215005563",4.7,3,1.6,"0.0","2015-07-31T06:00Z"
"4215005737",1.6,0,0,"0.0","2015-08-05T06:00Z"
"4215005884",0,0,0,"0.0","2015-08-08T06:00Z"
"4217002269",14.5,14.5,10.4,"3.7","2017-03-21T06:00Z"
